price,pType,pWidth,pLength,pArea,pLandArea,pNumberOfFloors,pNumberOfBathrooms,pNumberOfBedrooms,pCertificateType,pFurnitureStatus,log_price,district
4380000000.0,other,12.0,4.05,41.5,48.0,1.0,4.0,4.0,certificate,other,22.200314561334768,Quận Tân Phú
4990000000.0,other,3.94,12.13,72.4,47.8,2.0,2.0,2.0,certificate,other,22.33070174670984,Quận Bình Tân
5850000000.0,other,5.22,7.35,155.6,78.8,5.0,7.0,6.0,certificate,other,22.489707498190175,Quận Gò Vấp
15900000000.0,other,6.1,21.2,263.3,128.1,3.0,17.0,17.0,certificate,other,23.4895849461726,Quận Gò Vấp
13800000000.0,other,2.9,13.0,150.1,33.1,5.0,5.0,8.0,certificate,partially_furnished,23.34793442910957,Quận 10
8350000000.0,other,4.5,10.54,158.3,47.2,5.0,5.0,4.0,certificate,other,22.845527375809176,Quận Gò Vấp
5950000000.0,other,4.45,8.9,100.1,30.7,4.0,3.0,3.0,certificate,other,22.50665705650395,Quận Gò Vấp
36800000000.0,other,7.36,10.47,337.9,71.5,6.0,14.0,13.0,certificate,other,24.328763682121295,Quận 1
7600000000.0,other,4.15,11.7,94.9,48.7,3.0,3.0,2.0,certificate,other,22.751414084238696,Quận Gò Vấp
6590000000.0,other,5.0,9.22,121.0,46.1,4.0,3.0,3.0,certificate,other,22.608819185460828,Quận Gò Vấp
28600000000.0,other,4.0,18.7,268.0,76.7,4.0,4.0,6.0,certificate,other,24.07667255477222,Quận 5
12500000000.0,other,4.3,22.0,122.0,91.8,2.0,2.0,3.0,certificate,partially_furnished,23.248994481254666,Quận 3
13900000000.0,other,4.5,13.0,118.5,51.0,3.0,1.0,1.0,certificate,other,23.355154677083057,Quận 3
11900000000.0,other,3.55,9.45,139.7,34.7,5.0,4.0,3.0,certificate,other,23.199804237063894,Quận 3
10680000000.0,other,4.8,7.45,124.1,36.0,4.0,6.0,5.0,certificate,partially_furnished,23.09163867047846,Quận 3
10500000000.0,other,4.0,20.0,296.0,80.0,4.0,6.0,5.0,certificate,partially_furnished,23.07464109410989,Quận Bình Tân
52000000000.0,other,12.0,38.0,246.8,246.8,0.0,0.0,0.0,certificate,other,24.674509555527838,Quận Thủ Đức
6500000000.0,alley_house,5.98,7.57,142.0,43.4,4.0,3.0,3.0,certificate,other,22.595068013848003,Quận Gò Vấp
9500000000.0,other,3.0,13.96,138.1,43.8,4.0,4.0,5.0,certificate,other,22.974557635552905,Quận 5
5100000000.0,other,3.6,5.15,18.2,18.2,3.0,3.0,2.0,certificate,furnished,22.35250637667669,Quận 10
7900000000.0,other,4.35,16.57,128.8,74.4,2.0,2.0,2.0,certificate,other,22.790128596419386,Quận Tân Phú
8500000000.0,other,3.6,12.0,133.8,43.2,4.0,4.0,5.0,certificate,other,22.863332000442682,Quận 3
4950000000.0,other,4.1,14.1,74.2,61.3,2.0,1.0,2.0,certificate,other,22.32265341352701,Quận Tân Phú
4650000000.0,other,8.76,8.98,117.6,81.2,2.0,3.0,4.0,certificate,other,22.260133056545676,Quận Bình Tân
5200000000.0,other,3.55,5.7,44.0,20.2,2.0,2.0,2.0,certificate,other,22.371924462533794,Quận Phú Nhuận
5100000000.0,other,4.69,10.73,166.9,50.1,4.0,3.0,3.0,certificate,other,22.35250637667669,Quận 12
4850000000.0,other,4.05,11.7,94.0,45.8,2.0,3.0,2.0,certificate,partially_furnished,22.302244541895803,Quận Tân Bình
6460000000.0,other,4.0,11.95,136.9,47.9,3.0,4.0,4.0,certificate,other,22.58889515474092,Quận Gò Vấp
6750000000.0,other,3.07,16.07,131.5,46.1,4.0,5.0,4.0,certificate,other,22.63280834183085,Quận Gò Vấp
34900000000.0,other,4.34,20.0,280.0,87.8,4.0,7.0,6.0,certificate,other,24.275752666154794,Quận Bình Thạnh
4000000000.0,other,4.0,14.0,86.4,56.0,2.0,2.0,2.0,certificate,partially_furnished,22.1095601980663,Quận Bình Tân
3680000000.0,other,4.1,5.66,50.2,25.1,2.0,1.0,2.0,certificate,other,22.02617858912725,Quận Gò Vấp
4600000000.0,other,3.78,8.78,61.06,32.11,2.0,2.0,3.0,certificate,other,22.24932214044146,Quận 3
5300000000.0,other,3.25,13.57,83.8,41.9,2.0,2.0,4.0,certificate,other,22.390972657504488,Quận 10
1990000000.0,other,2.9,5.61,24.97,16.27,2.0,2.0,1.0,certificate,other,21.41140047568281,Quận Tân Phú
5300000000.0,alley_house,3.1,8.45,107.3,25.8,5.0,4.0,3.0,certificate,other,22.390972657504488,Quận Tân Bình
17500000000.0,other,5.23,26.47,219.9,142.1,3.0,2.0,3.0,certificate,other,23.585466717875878,Quận Tân Phú
5600000000.0,other,4.0,6.9,111.2,27.9,5.0,3.0,5.0,certificate,other,22.446032434687513,Quận Bình Thạnh
9500000000.0,alley_house,4.05,16.95,147.4,69.5,2.0,2.0,2.0,certificate,partially_furnished,22.974557635552905,Quận Bình Thạnh
7250000000.0,other,3.5,10.15,103.3,35.1,4.0,2.0,3.0,certificate,other,22.704267305812994,Quận Gò Vấp
19000000000.0,other,3.9,26.25,66.3,66.3,6.0,7.0,12.0,certificate,other,23.667704816112852,Quận 5
7300000000.0,other,4.0,14.0,220.7,55.9,5.0,5.0,5.0,certificate,other,22.711140185100756,Quận Bình Tân
25900000000.0,other,4.0,15.78,314.3,62.6,5.0,5.0,10.0,certificate,other,23.977508805651905,Quận Bình Thạnh
9600000000.0,shophouse,4.03,19.45,280.0,73.5,3.0,4.0,7.0,certificate,other,22.985028935420203,Quận Bình Tân
6350000000.0,other,4.87,10.94,54.5,54.5,1.0,3.0,5.0,certificate,other,22.571720649851013,Quận 3
9200000000.0,land,19.89,4.0,288.1,79.3,6.0,13.0,12.0,certificate,other,22.942469321001404,Quận Bình Tân
5100000000.0,alley_house,4.01,12.35,76.8,48.8,3.0,3.0,4.0,certificate,other,22.35250637667669,Quận Bình Tân
22000000000.0,adjacent_house,4.05,18.4,74.3,74.3,2.0,1.0,1.0,certificate,other,23.814308290304727,Quận 6
7600000000.0,land,4.01,19.82,170.8,86.7,3.0,2.0,3.0,certificate,other,22.751414084238696,Quận Bình Tân
11000000000.0,other,4.3,20.72,88.5,88.5,1.0,1.0,1.0,certificate,other,23.121161109744783,Quận Tân Phú
17500000000.0,other,3.8,20.3,161.8,74.56,3.0,3.0,8.0,certificate,other,23.585466717875878,Quận 5
6660000000.0,other,6.65,8.31,47.7,47.7,3.0,4.0,3.0,certificate,furnished,22.619385321498708,Quận Bình Thạnh
16200000000.0,other,4.84,8.16,139.39,36.16,6.0,4.0,3.0,certificate,other,23.50827707918475,Quận 1
5960000000.0,other,4.8,9.44,118.2,42.8,4.0,3.0,4.0,certificate,other,22.50833631802367,Quận Gò Vấp
5680000000.0,other,3.72,11.13,114.6,41.5,3.0,3.0,3.0,certificate,other,22.46021706967947,Quận Gò Vấp
5850000000.0,alley_house,2.85,10.42,28.2,28.2,1.0,3.0,3.0,certificate,other,22.489707498190175,Quận Phú Nhuận
3650000000.0,other,3.06,10.83,46.8,31.1,2.0,2.0,2.0,certificate,other,22.017993004540813,Quận Gò Vấp
5800000000.0,other,4.0,14.0,127.5,54.0,3.0,3.0,3.0,certificate,other,22.481123754498785,Quận 12
5200000000.0,other,3.53,6.03,79.9,21.3,4.0,3.0,2.0,certificate,other,22.371924462533794,Quận Gò Vấp
3800000000.0,other,5.0,17.0,85.0,85.0,0.0,0.0,0.0,certificate,other,22.058266903678753,Quận Bình Chánh
2690000000.0,other,2.5,8.0,40.2,20.0,2.0,2.0,2.0,certificate,partially_furnished,21.71280703056016,Quận Bình Tân
